,R2 train,R2 test,RMSE train,RMSE test
LinearRegression,0.7784358976173403,0.7868580432504118,0.029868782616401406,0.03910427946272187
KNeighborsRegressor,0.9757150245077121,0.9587413247011691,0.0004782200172297769,0.0018812470566389233
DecisionTreeRegressor,0.9999999754750066,0.9565480767999027,5.460960375271421e-16,0.0034773757982478628
BaggingRegressor,0.9983994449204379,0.992965525383475,2.292109651720641e-06,7.08670183871247e-05
RandomForestRegressor,0.99875177533783,0.9859833526873625,1.3720906929609986e-06,0.0002864565363673974
AdaBoostRegressor,0.0712243761800243,0.23864764878929912,0.4328768407848885,0.43338508048086427
SVR,0.6594204920000126,0.5727455331992684,0.034908623727448324,0.06602485653241101
KerasRegressor,0.9808208339736181,0.9786534677157298,0.0002615385814159634,0.0004828445629450548
